epoch_id,tick_ms,initial_x_m,initial_y_m,initial_z_m,initial_clock_m,hinge_rad,asa_mask,na_mask,boundary_mask,q_before,j,k,blend_bits
0,1280000000000,3920132.1828496833,343060.69940503134,5002807.387216101,0,0.35,4095,4294967295,0,0,1,0,5
1,1280000001000,3920132.0015969723,343060.8843114414,5002807.566453785,0,0.35,4095,4294967295,0,1,1,0,5
2,1280000002000,3920131.820635772,343061.06924335536,5002807.745442542,0,0.35,4095,4294967295,0,0,1,0,5
3,1280000003000,3920131.6402571183,343061.2542262355,5002807.92393383,0,0.35,4095,4294967295,0,1,1,0,5
4,1280000004000,3920131.4607510883,343061.43928546034,5002808.10167987,0,0.35,4095,4294967295,0,0,1,0,5
5,1280000005000,3920131.28240633,343061.6244462833,5002808.278434033,0,0.35,4095,4294967295,0,1,1,0,5
6,1280000006000,3920131.1055095852,343061.80973379104,5002808.453951213,0,0.35,4092,4294967295,0,0,1,0,5
7,1280000007000,3920130.9303452205,343061.9951728624,5002808.627988209,0,0.35,4095,4294967295,0,1,1,0,5
8,1280000008000,3920130.757194761,343062.18078812765,5002808.800304098,0,0.35,4095,4294967295,0,0,1,0,5
9,1280000009000,3920130.5863364288,343062.366603928,5002808.970660604,0,0.35,4095,4294967295,0,1,1,0,5
10,1280000010000,3920130.418044683,343062.55264427554,5002809.138822466,0,0.35,4095,4294967295,0,0,1,0,5
11,1280000011000,3920130.2525897734,343062.73893281416,5002809.3045577975,0,0.35,4095,4294967295,0,1,1,0,5
12,1280000012000,3920130.090237293,343062.9254927801,5002809.467638444,0,0.35,4095,4294967295,0,0,1,0,5
13,1280000013000,3920129.9312477442,343063.1123469645,5002809.627840332,0,0.35,4092,4294967295,0,1,1,0,5
14,1280000014000,3920129.7758761095,343063.29951767536,5002809.784943816,0,0.35,4095,4294967295,0,0,1,0,5
15,1280000015000,3920129.624371431,343063.48702670104,5002809.938734012,0,0.35,4095,4294967295,0,1,1,0,5
16,1280000016000,3920129.476976403,343063.67489527457,5002810.089001126,0,0.35,4095,4294967295,0,0,1,0,5
17,1280000017000,3920129.3339269715,343063.8631440384,5002810.235540776,0,0.35,4095,4294967295,0,1,1,0,5
18,1280000018000,3920129.195451943,343064.05179301085,5002810.3781543095,0,0.35,4095,4294967295,0,0,1,0,5
19,1280000019000,3920129.0617726133,343064.24086155236,5002810.516649098,0,0.35,4095,4294967295,0,1,1,0,5
20,1280000020000,3920128.9331023954,343064.4303683345,5002810.650838839,0,0.35,4092,4294967295,0,0,1,0,5
21,1280000021000,3920128.8096464723,343064.6203313083,5002810.780543836,0,0.35,4095,4294967295,0,1,1,0,5
22,1280000022000,3920128.691601455,343064.810767675,5002810.905591271,0,0.35,4095,4294967295,0,0,1,0,5
23,1280000023000,3920128.579155059,343065.0016938576,5002811.025815469,0,0.35,4095,4294967295,0,1,1,0,5
24,1280000024000,3920128.4724857924,343065.1931254735,5002811.141058151,0,0.35,4095,4294967295,0,0,1,0,5
25,1280000025000,3920128.3717626585,343065.3850773087,5002811.251168669,0,0.35,4095,4294967295,0,1,1,0,5
26,1280000026000,3920128.2771448786,343065.57756329305,5002811.356004238,0,0.35,4095,4294967295,0,0,1,0,5
27,1280000027000,3920128.1887816214,343065.7705964773,5002811.455430149,0,0.35,4092,4294967295,0,1,1,0,5
28,1280000028000,3920128.1068117605,343065.9641890112,5002811.54931997,0,0.35,4095,4294967295,0,0,1,0,5
29,1280000029000,3920128.0313636363,343066.15835212317,5002811.63755574,0,0.35,4095,4294967295,0,1,1,0,5
30,1280000030000,3920127.9625548446,343066.35309610143,5002811.720028135,0,0.35,4095,4294967295,0,0,1,0,5
31,1280000031000,3920127.9004920353,343066.5484302768,5002811.796636646,0,0.35,4095,4294967295,0,1,1,0,5
32,1280000032000,3920127.8452707366,343066.7443630066,5002811.867289709,0,0.35,4095,4294967295,0,0,1,0,5
33,1280000033000,3920127.796975187,343066.94090166106,5002811.931904852,0,0.35,4095,4294967295,0,1,1,0,5
34,1280000034000,3920127.755678195,343067.13805261,5002811.990408814,0,0.35,4092,4294967295,0,0,1,0,5
35,1280000035000,3920127.7214410123,343067.3358212121,5002812.0427376395,0,0.35,4095,4294967295,0,1,1,0,5
36,1280000036000,3920127.6943132253,343067.5342118058,5002812.088836782,0,0.35,4095,4294967295,0,0,1,0,5
37,1280000037000,3920127.6743326676,343067.73322770104,5002812.128661172,0,0.35,4095,4294967295,0,1,1,0,5
38,1280000038000,3920127.6615253524,343067.9328711736,5002812.162175279,0,0.35,4095,4294967295,0,0,1,0,5
39,1280000039000,3920127.6559054176,343068.13314346055,5002812.18935316,0,0.35,4095,4294967295,0,1,1,0,5
40,1280000040000,3920127.6574751004,343068.3340447574,5002812.210178483,0,0.35,4095,4294967295,0,0,1,0,5
41,1280000041000,3920127.666224719,343068.5355742174,5002812.224644553,0,0.35,4092,4294967295,0,1,1,0,5
42,1280000042000,3920127.6821326837,343068.7377299515,5002812.232754299,0,0.35,4095,4294967295,0,0,1,0,5
43,1280000043000,3920127.7051655254,343068.9405090315,5002812.234520273,0,0.35,4095,4294967295,0,1,1,0,5
44,1280000044000,3920127.7352779345,343069.1439074935,5002812.229964606,0,0.35,4095,4294967295,0,0,1,0,5
45,1280000045000,3920127.772412833,343069.3479203436,5002812.219118972,0,0.35,4095,4294967295,0,1,1,0,5
46,1280000046000,3920127.8165014507,343069.5525415654,5002812.202024527,0,0.35,4095,4294967295,0,0,1,0,5
47,1280000047000,3920127.8674634355,343069.7577641288,5002812.178731827,0,0.35,4095,4294967295,0,1,1,0,5
48,1280000048000,3920127.9252069686,343069.9635800009,5002812.149300743,0,0.35,4092,4294967295,0,0,1,0,5
49,1280000049000,3920127.9896289096,343070.16998015787,5002812.113800358,0,0.35,4095,4294967295,0,1,1,0,5
50,1280000050000,3920128.0606149477,343070.37695459905,5002812.072308843,0,0.35,4095,4294967295,0,0,1,0,5
51,1280000051000,3920128.138039786,343070.5844923621,5002812.024913325,0,0.35,4095,4294967295,0,1,1,0,5
52,1280000052000,3920128.221767328,343070.7925815405,5002811.971709741,0,0.35,4095,4294967295,0,0,1,0,5
53,1280000053000,3920128.3116508974,343071.00120930123,5002811.912802675,0,0.35,4095,4294967295,0,1,1,0,5
54,1280000054000,3920128.407533456,343071.21036190575,5002811.848305181,0,0.35,4095,4294967295,0,0,1,0,5
55,1280000055000,3920128.5092478604,343071.4200247305,5002811.778338601,0,0.35,4092,4294967295,0,1,1,0,5
56,1280000056000,3920128.616617114,343071.63018229057,5002811.703032354,0,0.35,4095,4294967295,0,0,1,0,5
57,1280000057000,3920128.7294546524,343071.8408182635,5002811.622523732,0,0.35,4095,4294967295,0,1,1,0,5
58,1280000058000,3920128.84756463,343072.0519155151,5002811.536957665,0,0.35,4095,4294967295,0,0,1,0,5
59,1280000059000,3920128.9707422354,343072.2634561267,5002811.44648649,0,0.35,4095,4294967295,0,1,1,0,5
60,1280000060000,3920129.0987740066,343072.4754214227,5002811.351269695,0,0.35,4095,4294967295,0,0,1,0,5
61,1280000061000,3920129.231438175,343072.68779200094,5002811.251473664,0,0.35,4095,4294967295,0,1,1,0,5
62,1280000062000,3920129.368505009,343072.9005477626,5002811.1472713975,0,0.35,4092,4294967295,0,0,1,0,5
63,1280000063000,3920129.5097371833,343073.1136679443,5002811.038842237,0,0.35,4095,4294967295,0,1,1,0,5
64,1280000064000,3920129.654890152,343073.32713115105,5002810.926371572,0,0.35,4095,4294967295,0,0,1,0,5
65,1280000065000,3920129.803712536,343073.54091539,5002810.810050536,0,0.35,4095,4294967295,0,1,1,0,5
66,1280000066000,3920129.955946522,343073.7549981055,5002810.690075696,0,0.35,4095,4294967295,0,0,1,0,5
67,1280000067000,3920130.11132827,343073.9693562145,5002810.56664874,0,0.35,4095,4294967295,0,1,1,0,5
68,1280000068000,3920130.2695883373,343074.18396614376,5002810.439976143,0,0.35,4095,4294967295,0,0,1,0,5
69,1280000069000,3920130.4304521005,343074.39880386693,5002810.310268834,0,0.35,4092,4294967295,0,1,1,0,5
70,1280000070000,3920130.5936401975,343074.613844943,5002810.177741863,0,0.35,4095,4294967295,0,0,1,0,5
71,1280000071000,3920130.7588689676,343074.82906455477,5002810.042614043,0,0.35,4095,4294967295,0,1,1,0,5
72,1280000072000,3920130.925850907,343075.0444375489,5002809.905107603,0,0.35,4095,4294967295,0,0,1,0,5
73,1280000073000,3920131.0942951236,343075.2599384759,5002809.765447835,0,0.35,4095,4294967295,0,1,1,0,5
